,Neighborhood,bar,restaurant,food_drink,shopping,entertainment,outdoor,others
0,Acres Home,0.0,0.25,0.0,0.25,0.0,0.0,0.5
1,Addicks / Park Ten,0.0,0.0,0.0,0.0,0.0,0.2,0.8
2,Afton Oaks / River Oaks,0.02,0.26,0.14,0.39999999999999997,0.01,0.01,0.16
3,Alief,0.0,0.19999999999999998,0.3,0.3666666666666667,0.03333333333333333,0.0,0.1
4,Astrodome Area,0.05434782608695652,0.25,0.21739130434782608,0.25,0.010869565217391304,0.03260869565217391,0.18478260869565216
5,Braeburn,0.04081632653061224,0.22448979591836735,0.14285714285714285,0.346938775510204,0.0,0.0,0.24489795918367346
6,Braeswood,0.0,0.037037037037037035,0.37037037037037035,0.14814814814814814,0.0,0.07407407407407407,0.37037037037037035
7,Brays Oaks (formerly Greater Fondren S.W.),0.0,0.13043478260869565,0.21739130434782608,0.30434782608695654,0.043478260869565216,0.0,0.30434782608695654
8,Briar Forest,0.045454545454545456,0.36363636363636365,0.14772727272727273,0.2727272727272727,0.0,0.022727272727272728,0.14772727272727273
9,Carverdale,0.0,0.05,0.3,0.1,0.0,0.0,0.55
10,Central Northwest (formerly Near Northwest),0.04918032786885246,0.22950819672131148,0.19672131147540983,0.3442622950819672,0.01639344262295082,0.04918032786885246,0.11475409836065573
11,Central Southwest,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666
12,Clear Lake,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.0,0.0,0.4
13,Clinton Park / Tri-Community,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Denver Harbor / Port Houston,0.0,0.25806451612903225,0.32258064516129026,0.12903225806451613,0.0,0.0,0.29032258064516125
15,Downtown,0.2,0.26,0.21999999999999997,0.02,0.04,0.02,0.24
16,East Houston,0.0,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0,0.0,0.38461538461538464
17,East Little York / Homestead,0.0,0.0,0.2222222222222222,0.6666666666666667,0.0,0.0,0.1111111111111111
18,Edgebrook,0.0,0.2894736842105263,0.2631578947368421,0.23684210526315788,0.0,0.0,0.21052631578947367
19,El Dorado / Oates Prairie,0.0,0.0,0.0,0.25,0.0,0.0,0.75
20,Eldridge / West Oaks,0.03125,0.3229166666666667,0.16666666666666666,0.2604166666666667,0.0,0.020833333333333332,0.19791666666666666
21,Fairbanks / Northwest Crossing,0.03508771929824561,0.21052631578947367,0.21052631578947367,0.43859649122807015,0.0,0.05263157894736842,0.05263157894736842
22,Fondren Gardens,0.027777777777777776,0.1388888888888889,0.25,0.3055555555555556,0.0,0.0,0.2777777777777778
23,Fort Bend / Houston,0.0,0.1764705882352941,0.2941176470588235,0.23529411764705882,0.0,0.0,0.2941176470588235
24,Fourth Ward,0.16,0.24000000000000002,0.21000000000000002,0.08,0.05,0.04,0.22
25,Golfcrest / Bellfort / Reveille,0.0,0.1111111111111111,0.19444444444444442,0.41666666666666663,0.0,0.0,0.2777777777777778
26,Greater Eastwood,0.07272727272727272,0.1272727272727273,0.2909090909090909,0.21818181818181817,0.03636363636363636,0.0,0.2545454545454545
27,Greater Fifth Ward,0.04,0.2,0.16,0.16,0.08,0.0,0.36
28,Greater Greenspoint,0.03225806451612903,0.3225806451612903,0.24193548387096772,0.22580645161290322,0.016129032258064516,0.016129032258064516,0.14516129032258063
29,Greater Heights,0.06,0.27,0.16,0.32,0.02,0.03,0.14
30,Greater Hobby Area,0.0,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.0,0.0,0.18181818181818182
31,Greater Inwood,0.0,0.16666666666666666,0.23333333333333334,0.30000000000000004,0.0,0.0,0.3
32,Greater OST / South Union,0.0,0.17073170731707318,0.1951219512195122,0.4634146341463415,0.0,0.0,0.17073170731707318
33,Greater Third Ward,0.045454545454545456,0.19696969696969696,0.34848484848484845,0.19696969696969696,0.015151515151515152,0.045454545454545456,0.1515151515151515
34,Greater Uptown,0.02,0.26,0.12,0.42,0.01,0.01,0.16
35,Greenway / Upper Kirby,0.05,0.37,0.21,0.21000000000000002,0.01,0.04,0.11000000000000001
36,Gulfgate Riverview / Pine Valley,0.0,0.2325581395348837,0.18604651162790697,0.46511627906976744,0.0,0.0,0.11627906976744186
37,Gulfton,0.02,0.29000000000000004,0.21,0.3,0.01,0.02,0.15000000000000002
38,Harrisburg / Manchester,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
39,Hidden Valley,0.0,0.14285714285714285,0.23809523809523808,0.3571428571428571,0.0,0.0,0.26190476190476186
40,Hunterwood,0.0,0.0,0.4,0.2,0.0,0.2,0.2
