,Neighborhood,Location,Latitude,Longitude
1,Willowbrook,Northwest,29.9558598,-95.54597869999999
2,Greater Greenspoint,North,29.9406789,-95.41390559999999
3,Carverdale,Northwest,29.8587078,-95.54516199999999
4,Fairbanks / Northwest Crossing,Northwest,29.8509122,-95.5154068
5,Greater Inwood,Northwest,29.86573869999999,-95.4804344
6,Acres Home,Northwest,29.870719,-95.436543
7,Hidden Valley,North,29.8896157,-95.4181974
8,Westbranch,West,29.8382464,-95.55201919999999
9,Addicks / Park Ten,West,29.8132687,-95.6454759
10,Spring Branch West,West,29.8028554,-95.4754992
11,Langwood,Northwest,29.8259722,-95.4936915
12,Central Northwest (formerly Near Northwest),Northwest,29.84702099999999,-95.5041303
13,Independence Heights,North,29.82841669999999,-95.3977159
14,Lazybrook / Timbergrove,Northwest,29.8016005,-95.438085
15,Greater Heights,Northwest,29.7962142,-95.39910499999999
16,Memorial,West,29.7725574,-95.575926
17,Eldridge / West Oaks,West,29.7562302,-95.4730189
18,Briar Forest,West,29.74783499999999,-95.5872933
19,Westchase,West,29.7277555,-95.57166169999999
20,Mid-West (formerly Woodlake/Briarmeadow),West,29.7374609,-95.51421950000001
21,Greater Uptown,West,29.7410048,-95.4610278
22,Washington Avenue Coalition / Memorial Park,West,29.7770697,-95.43549349999999
23,Afton Oaks / River Oaks,West,29.7333549,-95.458372
24,Neartown / Montrose,Southwest,29.742668,-95.3991888
25,Alief,Southwest,29.6827204,-95.593239
26,Sharpstown,Southwest,29.7051747,-95.52128979999999
27,Gulfton,Southwest,29.7164567,-95.4805999
28,University Place,Southwest,29.718548,-95.4089487
29,Westwood,Southwest,29.6753259,-95.5502207
30,Braeburn,Southwest,29.6768908,-95.5283682
31,Meyerland,Southwest,29.686582,-95.4647224
32,Braeswood,Southwest,29.6896577,-95.4400613
33,Medical Center,South,29.7098725,-95.39730999999999
34,Astrodome Area,South,29.6852077,-95.4032257
35,South Main,South,29.6725728,-95.4201377
36,Brays Oaks (formerly Greater Fondren S.W.),Southwest,29.6557112,-95.5280193
37,Westbury,Southwest,29.6536089,-95.4804133
38,Willow Meadows / Willowbend,Southwest,29.6733001,-95.43988259999999
39,Fondren Gardens,Southwest,29.6263258,-95.5012732
40,Central Southwest,South,29.6282415,-95.4307937
41,Fort Bend / Houston,Southwest,29.5692614,-95.81428849999999
42,IAH Airport,North,29.9902199,-95.3367827
43,Kingwood,Northeast,30.0500255,-95.18447739999999
44,Lake Houston,Northeast,29.9723669,-95.1379946
45,Northside / Northline,North,29.8594534,-95.3846774
46,Jensen,Northeast,29.8481524,-95.3429072
47,East Little York / Homestead,Northeast,29.8714094,-95.3005979
48,Trinity / Houston Gardens,Northeast,29.8313761,-95.3020313
49,East Houston,Northeast,29.8296699,-95.2699349
50,Settegast,Northeast,29.8153931,-95.2809456
51,Northside Village,North,29.8411303,-95.410934
52,Kashmere Gardens,Northeast,29.80038609999999,-95.3169786
53,El Dorado / Oates Prairie,Northeast,29.80515189999999,-95.24051
54,Hunterwood,Northeast,29.8165393,-95.2136187
55,Greater Fifth Ward,Northeast,29.7761332,-95.32645
56,Denver Harbor / Port Houston,East,29.7743832,-95.3011399
57,Pleasantville Area,East,29.7708418,-95.2729257
58,Northshore,East,29.7758059,-95.21826279999999
59,Clinton Park / Tri-Community,East,29.74371469999999,-95.255449
60,Fourth Ward,West,29.7579028,-95.38086829999999
61,Downtown,—,29.7559698,-95.3573194
62,Midtown,South,29.740795,-95.3756344
63,Second Ward,East,29.7510926,-95.3240014
64,Greater Eastwood,Southeast,29.73570179999999,-95.3339582
65,Harrisburg / Manchester,Southeast,29.7185281,-95.26015629999999
66,Museum Park (formerly Binz),South,29.7215239,-95.38223529999999
67,Greater Third Ward,South,29.7278316,-95.3499071
68,Greater OST / South Union,Southeast,29.6911506,-95.3528565
69,Gulfgate Riverview / Pine Valley,Southeast,29.708621,-95.3167989
70,Pecan Park,Southeast,29.7064733,-95.286076
71,Sunnyside,South,29.6641199,-95.36799409999999
72,South Park,South,29.6663268,-95.33720989999999
73,Golfcrest / Bellfort / Reveille,Southeast,29.6851528,-95.29631150000002
74,Park Place,Southeast,29.6950953,-95.2646733
75,Meadowbrook / Allendale,Southeast,29.6874666,-95.2461412
76,South Acres / Crestmont Park,South,29.6276396,-95.35562329999999
77,Minnetex,South,29.6256264,-95.32394029999999
78,Greater Hobby Area,Southeast,29.6254107,-95.28543690000001
79,Edgebrook,Southeast,29.64539329999999,-95.2265511
80,South Belt / Ellington,Southeast,29.6015354,-95.2160675
81,Clear Lake,Southeast,29.58573599999999,-95.1327829
82,Magnolia Park,East,29.7371714,-95.2924745
83,MacGregor,Southeast,29.7102924,-95.3563212
84,Spring Branch North,Northwest,29.8227034,-95.5452559
85,Spring Branch Central,Northwest,29.8110812,-95.5095815
86,Spring Branch East,Northwest,29.7908472,-95.5446297
87,Greenway / Upper Kirby,Southwest,29.7326743,-95.4332335
88,Lawndale / Wayside,Southeast,29.7247703,-95.3112419
