,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Willowbrook,29.9558598,-95.5459787,Costco,29.954658064909136,-95.54769729277533,Warehouse Store
1,Willowbrook,29.9558598,-95.5459787,Babin's Seafood House,29.955087888308064,-95.54445214302177,Seafood Restaurant
2,Willowbrook,29.9558598,-95.5459787,Pho An 2,29.956605816755076,-95.54380503993555,Vietnamese Restaurant
3,Willowbrook,29.9558598,-95.5459787,REI,29.9579223,-95.5472281,Sporting Goods Shop
4,Willowbrook,29.9558598,-95.5459787,Mint Thai Kitchen,29.956059844363278,-95.54442954840252,Thai Restaurant
5,Willowbrook,29.9558598,-95.5459787,Starbucks,29.95937246,-95.54710538,Coffee Shop
6,Willowbrook,29.9558598,-95.5459787,Saltgrass Steak House,29.955011238830153,-95.54208219051361,Steakhouse
7,Willowbrook,29.9558598,-95.5459787,Bed Bath & Beyond,29.9535173,-95.5438655,Furniture / Home Store
8,Willowbrook,29.9558598,-95.5459787,buybuy BABY,29.9531265271445,-95.5435574054718,Kids Store
9,Willowbrook,29.9558598,-95.5459787,Punta Cana Dominican Restaurant,29.959998463999526,-95.54299682119145,Latin American Restaurant
10,Willowbrook,29.9558598,-95.5459787,Buffalo Wild Wings,29.9540153,-95.5415625,Wings Joint
11,Willowbrook,29.9558598,-95.5459787,smashburger,29.95949104801829,-95.54697374213701,Burger Joint
12,Willowbrook,29.9558598,-95.5459787,Visible Changes (inside Willowbrook Mall),29.958515908852153,-95.5384060132142,Health & Beauty Service
13,Willowbrook,29.9558598,-95.5459787,Boudreaux's Cajun Kitchen,29.957076463393186,-95.54465440991888,Cajun / Creole Restaurant
14,Willowbrook,29.9558598,-95.5459787,Disney store,29.958927,-95.538407,Toy / Game Store
15,Willowbrook,29.9558598,-95.5459787,BJ's Restaurant & Brewhouse,29.9623191,-95.54442039999999,American Restaurant
16,Willowbrook,29.9558598,-95.5459787,Dimassi's Mediterranean Buffet,29.9579499855901,-95.54554677560344,Modern European Restaurant
17,Willowbrook,29.9558598,-95.5459787,P.F. Chang's,29.963366518559262,-95.54908432067117,Chinese Restaurant
18,Willowbrook,29.9558598,-95.5459787,Victoria's Secret PINK,29.961243504809968,-95.53934437109254,Lingerie Store
19,Willowbrook,29.9558598,-95.5459787,World Market,29.9533801,-95.5442429,Furniture / Home Store
20,Willowbrook,29.9558598,-95.5459787,Nordstrom Rack Willowbrook Mall,29.960742397083724,-95.54036856058093,Clothing Store
21,Willowbrook,29.9558598,-95.5459787,AMC Willowbrook 24,29.953881591567175,-95.54177976989192,Movie Theater
22,Willowbrook,29.9558598,-95.5459787,Raising Cane's Chicken Fingers,29.9640304646226,-95.54220077336448,Fried Chicken Joint
23,Willowbrook,29.9558598,-95.5459787,Dillard's,29.96142277710724,-95.53849777752791,Department Store
24,Willowbrook,29.9558598,-95.5459787,PetSmart,29.957916,-95.547685,Pet Store
25,Willowbrook,29.9558598,-95.5459787,Chipotle Mexican Grill,29.964235074548636,-95.54357510119985,Mexican Restaurant
26,Willowbrook,29.9558598,-95.5459787,Life Time Fitness,29.96648,-95.546469,Gym
27,Willowbrook,29.9558598,-95.5459787,Total Wine & More,29.96619095782134,-95.54326236248016,Wine Shop
28,Willowbrook,29.9558598,-95.5459787,Whiskey River Dancehall & Saloon,29.962390769249257,-95.5446068314836,Bar
29,Willowbrook,29.9558598,-95.5459787,Los Cucos,29.95831394545595,-95.53891160699223,Mexican Restaurant
30,Willowbrook,29.9558598,-95.5459787,Ulta Beauty,29.9635743,-95.5459723,Cosmetics Shop
31,Willowbrook,29.9558598,-95.5459787,Old Navy,29.961821581558176,-95.53967021338454,Clothing Store
32,Willowbrook,29.9558598,-95.5459787,Apple Willowbrook Mall,29.9603785,-95.5392383,Electronics Store
33,Willowbrook,29.9558598,-95.5459787,At Home,29.956758,-95.548069,Furniture / Home Store
34,Willowbrook,29.9558598,-95.5459787,Macy's,29.9579092,-95.5382447,Department Store
35,Willowbrook,29.9558598,-95.5459787,Fiesta Mart Inc,29.960375024184422,-95.55077965341194,Grocery Store
36,Willowbrook,29.9558598,-95.5459787,Bath & Body Works,29.959403199133675,-95.53898458545562,Cosmetics Shop
37,Willowbrook,29.9558598,-95.5459787,Olive Garden,29.964171398988128,-95.54167350587095,Italian Restaurant
38,Willowbrook,29.9558598,-95.5459787,Gyu-Kaku,29.963050842285156,-95.54554748535156,Japanese Restaurant
39,Willowbrook,29.9558598,-95.5459787,Victoria's Secret,29.961357,-95.539257,Lingerie Store
40,Willowbrook,29.9558598,-95.5459787,Godiva Chocolatier,29.959852,-95.53913299999999,Chocolate Shop
41,Willowbrook,29.9558598,-95.5459787,Hilton Garden Inn,29.9639134,-95.5487811,Hotel
42,Willowbrook,29.9558598,-95.5459787,Chick-fil-A,29.959629,-95.538384,Fast Food Restaurant
43,Willowbrook,29.9558598,-95.5459787,24 Hour Fitness,29.95532567814576,-95.53656057623265,Gym / Fitness Center
44,Willowbrook,29.9558598,-95.5459787,Michaels,29.96647014835451,-95.54281443357468,Arts & Crafts Store
45,Willowbrook,29.9558598,-95.5459787,zara willowbrook,29.961355,-95.539812,Clothing Store
46,Willowbrook,29.9558598,-95.5459787,Pappadeaux Seafood Kitchen,29.96764,-95.5365,Cajun / Creole Restaurant
47,Willowbrook,29.9558598,-95.5459787,AT&T,29.961186669341373,-95.54607257737155,Mobile Phone Shop
48,Willowbrook,29.9558598,-95.5459787,Jared The Galleria Of Jewelry,29.9659466,-95.5394835,Jewelry Store
49,Willowbrook,29.9558598,-95.5459787,Baskin-Robbins,29.96525533112532,-95.54165407219374,Ice Cream Shop
50,Willowbrook,29.9558598,-95.5459787,Starbucks,29.960064596440453,-95.53884193974122,Coffee Shop
51,Willowbrook,29.9558598,-95.5459787,Academy Sports + Outdoors,29.9654757,-95.5439054,Sporting Goods Shop
52,Willowbrook,29.9558598,-95.5459787,McAlister's Deli,29.965501786786,-95.54047534232073,Deli / Bodega
53,Willowbrook,29.9558598,-95.5459787,Churrascos,29.964306268202005,-95.54972349050944,Latin American Restaurant
54,Willowbrook,29.9558598,-95.5459787,LensCrafters,29.96157620435587,-95.53955846508391,Optical Shop
55,Willowbrook,29.9558598,-95.5459787,Panda Express,29.964818309037792,-95.5425491287466,Chinese Restaurant
56,Willowbrook,29.9558598,-95.5459787,Best Western Premier Ashton Suites-Willowbrook,29.951566,-95.538825,Hotel
57,Willowbrook,29.9558598,-95.5459787,GameStop,29.959906778816553,-95.53862937459539,Video Game Store
58,Willowbrook,29.9558598,-95.5459787,Sam's Club,29.96310830457819,-95.54799853531708,Warehouse Store
59,Willowbrook,29.9558598,-95.5459787,Abercrombie & Fitch,29.95955116291136,-95.53901356758313,Clothing Store
60,Willowbrook,29.9558598,-95.5459787,The Vitamin Shoppe,29.964882,-95.541347,Supplement Shop
61,Willowbrook,29.9558598,-95.5459787,Fossil,29.95998235,-95.53903911,Accessories Store
62,Willowbrook,29.9558598,-95.5459787,HomeGoods,29.9654294686266,-95.5448398306884,Furniture / Home Store
63,Willowbrook,29.9558598,-95.5459787,Starbucks,29.954018451350986,-95.53955873482387,Coffee Shop
64,Willowbrook,29.9558598,-95.5459787,Brick House Tavern + Tap,29.95283129792343,-95.53882302821748,Sports Bar
65,Willowbrook,29.9558598,-95.5459787,Jamba Juice,29.960055,-95.539069,Juice Bar
